ProbeID,PrimaryAccession,RefSeqAccession,GenbankAccession,UniGeneID,EntrezGeneID,GeneSymbol,GeneName,EnsemblID,TIGRID,GO,Description,GenomicCoordinates,Cytoband
A_01_P009408,ENSMMUT00000029512.3,XM_001112633,XM_001112633,,719051,GSC2,goosecoid homeobox 2,ENSMMUT00000029512.3,,,goosecoid homeobox 2 [Source:VGNC Symbol;Acc:VGNC:73297] [ENSMMUT00000029512.3],chr10:63191297-63191238,
A_01_P017905,NM_001257738,NM_001257738,NM_001257738,Mmu.22374,698149,MOB4,"MOB family member 4, phocein",ENSMMUT00000023239.4,,,"Macaca mulatta MOB family member 4, phocein (MOB4), mRNA [NM_001257738]",chr12:61173834-61173893,
A_01_P019700,XM_001095750,XM_015116941,XM_001095750,Mmu.26323,700467,C5,complement C5,,,,"PREDICTED: Macaca mulatta complement component 5 (C5), mRNA [XM_001095750]",chr15:15049524-15049583,
A_01_P000407,ENSMMUT00000038493.3,XM_015124005,JU485176,Mmu.17833,705884,CYP2S1,cytochrome P450 family 2 subfamily S member 1,ENSMMUT00000038493.3,,,cytochrome P450 family 2 subfamily S member 1 [Source:VGNC Symbol;Acc:VGNC:103641] [ENSMMUT00000038493.3],chr19:47592924-47592983,
A_01_P010948,ENSMMUT00000108471.1,XM_015146204,JV526815,Mmu.30103,,,,ENSMMUT00000108471.1,,,major facilitator superfamily domain containing 3 [Source:NCBI gene (formerly Entrezgene);Acc:703246] [ENSMMUT00000108471.1],chr8:147188932-147188991,
A_01_P013739,,,,,,,,,,,,chr15:012873875-012873934,
A_01_P000374,ENSMMUT00000056363.2,XM_015140823,JV544463,Mmu.29233,702815,RNF207,ring finger protein 207,ENSMMUT00000056363.2,,,ring finger protein 207 [Source:VGNC Symbol;Acc:VGNC:100061] [ENSMMUT00000056363.2],chr1:9225714-9225773,
A_01_P009821,,,,,,,,,,,,chr4:164862620-164862679,
A_01_P003506,ENSMMUT00000054935.2,XM_015129646,JV554365,Mmu.33090,106996614,PRSS22,serine protease 22,ENSMMUT00000054935.2,,,serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368] [ENSMMUT00000054935.2],chr20:2869032-2869091,
A_01_P010843,ENSMMUT00000001570.4,XM_028836933,JV541869,Mmu.25911,719751,METRNL,"meteorin like, glial cell differentiation regulator",ENSMMUT00000001570.4,,,"meteorin like, glial cell differentiation regulator [Source:VGNC Symbol;Acc:VGNC:82184] [ENSMMUT00000001570.4]",chr16:78613816-78613875,
A_01_P000691,JV051998,XM_015139873,JV051998,Mmu.21978,,,,,,,TSA: Macaca mulatta Mamu_414860 mRNA sequence. [JV051998],chr6:35980604-35980545,
A_01_P019083,ENSMMUT00000003957.4,XM_015146189,XM_015146189,,694803,SLC25A24,solute carrier family 25 member 24,ENSMMUT00000003957.4,,,solute carrier family 25 member 24 [Source:VGNC Symbol;Acc:VGNC:100140] [ENSMMUT00000003957.4],chr1:111053941-111053885,
A_01_P011651,,,,,,,,,,,,chrX:056019810-056019751,
A_01_P016480,,,,,,,,,,,,chr12:052379539-052379480,
A_01_P012338,ENSMMUT00000095052.1,XM_015110957,XM_015110957,,574182,CCL20,C-C motif chemokine ligand 20,ENSMMUT00000095052.1,,,C-C motif chemokine ligand 20 [Source:VGNC Symbol;Acc:VGNC:70699] [ENSMMUT00000095052.1],chr12:91702691-91702750,
A_01_P011316,ENSMMUT00000022669.4,XM_028834005,XM_001090730,Mmu.3170,702424,APOA4,apolipoprotein A4,ENSMMUT00000022669.4,,,apolipoprotein A4 [Source:VGNC Symbol;Acc:VGNC:82104] [ENSMMUT00000022669.4],chr14:115218671-115218612,
A_01_P005382,ENSMMUT00000004954.4,XM_015127898,JU336449,Mmu.4816,696453,TCEAL4,transcription elongation factor A like 4,ENSMMUT00000004954.4,,,transcription elongation factor A like 4 [Source:VGNC Symbol;Acc:VGNC:79579] [ENSMMUT00000004954.4],chrX:102134630-102134689,
A_01_P018073,JU470944,XM_015130356,JU470944,Mmu.19580,703669,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",,,,TSA: Macaca mulatta Mamu_365069 mRNA sequence. [JU470944],chr2:56180415-56180356,
A_01_P012352,NM_001194380,NM_001194380,NM_001194380,Mmu.18671,712988,HEY2,hes related family bHLH transcription factor with YRPW motif 2,ENSMMUT00000085434.1,,,"Macaca mulatta hes related family bHLH transcription factor with YRPW motif 2 (HEY2), mRNA [NM_001194380]",chr4:138183814-138183755,
A_01_P006931,ENSMMUT00000061054.2,XM_015150885,XM_015150885,,722033,TNFRSF1A,TNF receptor superfamily member 1A,ENSMMUT00000061054.2,,,TNF receptor superfamily member 1A [Source:VGNC Symbol;Acc:VGNC:78589] [ENSMMUT00000061054.2],chr11:6445389-6445330,
A_01_P016097,JV712613,,JV712613,Mmu.31388,710531,KCTD1,potassium channel tetramerization domain containing 1,,,,TSA: Macaca mulatta Mamu_555933 mRNA sequence. [JV712613],chr18:19454601-19454542,
A_01_P015246,,,,,,,,,,,,,
A_01_P019822,ENSMMUT00000106960.1,XM_015133273,JV619079,Mmu.187,718128,CCZ1,"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated",ENSMMUT00000106960.1,,,TSA: Macaca mulatta Mamu_184071 mRNA sequence. [JV619079],chr15:97165861-97165802,
A_01_P010017,ENSMMUT00000107839.1,XM_028832908,XM_028832908,,114672144,LOC114672144,olfactory receptor 52E8,ENSMMUT00000107839.1,,,"PREDICTED: Macaca mulatta olfactory receptor 52E8 (LOC114672144), mRNA [XM_028832908]",chr14:67276391-67276450,
A_01_P005685,ENSMMUT00000000260.4,XM_028840110,XM_002801161,Mmu.29439,,,,ENSMMUT00000000260.4,,,zinc finger protein 43 [Source:HGNC Symbol;Acc:HGNC:13109] [ENSMMUT00000000260.4],chr19:21013984-21013925,
A_01_P010653,JU327735,XM_015144804,JU327735,Mmu.34178,100430474,SGCZ,sarcoglycan zeta,,,,TSA: Macaca mulatta Mamu_502147 mRNA sequence. [JU327735],chr8:13932347-13932290,
A_01_P006800,JV619300,,JV619300,Mmu.23729,,,,,,,TSA: Macaca mulatta Mamu_192808 mRNA sequence. [JV619300],chr4:79197933-79197874,
A_01_P000210,ENSMMUT00000075280.2,,,,,,,ENSMMUT00000075280.2,,,tetrapeptide repeat homeobox 1 [Source:HGNC Symbol;Acc:HGNC:32174] [ENSMMUT00000075280.2],chr19:54123336-54123278,
A_01_P007364,JV704053,XM_028836732,JV704053,Mmu.22269,693795,ABCA5,ATP binding cassette subfamily A member 5,,,,TSA: Macaca mulatta Mamu_552652 mRNA sequence. [JV704053],chr16:64497285-64497277,
A_01_P009368,NM_001194426,NM_001194426,NM_001194426,Mmu.19158,713165,C13H2orf49,chromosome 13 C2orf49 homolog,ENSMMUT00000085074.1,,,"Macaca mulatta chromosome 13 C2orf49 homolog (C13H2orf49), mRNA [NM_001194426]",chr13:105235257-105235316,
A_01_P012425,,,,,,,,,,,,chr14:118898221-118898280,
A_01_P011528,ENSMMUT00000006590.4,XM_028837699,JV635360,Mmu.21024,697954,THOC1,THO complex subunit 1,ENSMMUT00000006590.4,,,THO complex subunit 1 [Source:VGNC Symbol;Acc:VGNC:79175] [ENSMMUT00000006590.4],chr18:13857521-13857580,
A_01_P014992,JV490198,XM_015137273,JV490198,Mmu.1934,,,,,,,TSA: Macaca mulatta Mamu_10488 mRNA sequence. [JV490198],chr4:156767371-156767312,
A_01_P016037,,,,,,,,,,,,chr16:001140825-001140766,
A_01_P008670,JV051377,XM_028851927,JV051377,Mmu.27831,701635,TDRD9,tudor domain containing 9,,,,TSA: Macaca mulatta Mamu_415077 mRNA sequence. [JV051377],chr7:167437275-167437334,
A_01_P019379,ENSMMUT00000046178.3,XM_015149708,JV043361,Mmu.20571,709691,FMO5,flavin containing dimethylaniline monoxygenase 5,ENSMMUT00000046178.3,,,flavin containing dimethylaniline monoxygenase 5 [Source:VGNC Symbol;Acc:VGNC:72685] [ENSMMUT00000046178.3],chr1:126582080-126582021,
A_01_P011994,JU475099,XM_028828413,JU475099,Mmu.2007,693349,PPP1R16B,protein phosphatase 1 regulatory subunit 16B,,,,TSA: Macaca mulatta Mamu_382412 mRNA sequence. [JU475099],chr10:25525657-25525598,
A_01_P013129,NM_001260765,NM_001260765,NM_001260765,Mmu.2312,704335,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,ENSMMUT00000105255.1,,,"Macaca mulatta KDEL endoplasmic reticulum protein retention receptor 2 (KDELR2), mRNA [NM_001260765]",chr3:44686158-44686099,
A_01_P003848,,,,,,,,,,,,chr1:028556078-028556132,
A_01_P001841,NM_001266045,NM_001266045,NM_001266045,Mmu.20209,694964,PDIA2,protein disulfide isomerase family A member 2,ENSMMUT00000000874.3,,,"Macaca mulatta protein disulfide isomerase family A member 2 (PDIA2), mRNA [NM_001266045]",chr20:264801-264860,
A_01_P008261,ENSMMUT00000100077.1,XM_001103011,JV057105,Mmu.12194,706252,RAB3GAP2,RAB3 GTPase activating non-catalytic protein subunit 2,ENSMMUT00000100077.1,,,RAB3 GTPase activating non-catalytic protein subunit 2 [Source:VGNC Symbol;Acc:VGNC:76499] [ENSMMUT00000100077.1],chr1:150211767-150211826,
A_01_P014717,XM_015117658,XM_015117658,XM_015117658,,710568,LOC710568,interferon alpha-4-like,,,,"PREDICTED: Macaca mulatta interferon alpha-4-like (LOC710568), mRNA [XM_015117658]",chr15:55747351-55747410,
A_01_P011660,NM_001266769,NM_001266769,NM_001266769,Mmu.31420,100428266,GPR162,G protein-coupled receptor 162,ENSMMUT00000047296.3,,,"Macaca mulatta G protein-coupled receptor 162 (GPR162), mRNA [NM_001266769]",chr11:7008492-7008551,
A_01_P014377,,,,,,,,,,,,chr11:049051366-049051307,
A_01_P019915,,,,,,,,,,,,,
A_01_P012298,ENSMMUT00000024656.4,XM_028826634,JV505257,Mmu.23579,,,,ENSMMUT00000024656.4,,,interferon induced protein with tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:5407] [ENSMMUT00000024656.4],chr9:88963522-88963581,
A_01_P015170,,,,,,,,,,,,,
A_01_P006768,ENSMMUT00000093201.1,XM_015122137,JV657233,Mmu.181,699478,RELCH,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing",ENSMMUT00000093201.1,,,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing [Source:VGNC Symbol;Acc:VGNC:76859] [ENSMMUT00000093201.1]",chr18:55675542-55675601,
A_01_P011964,NM_001198693,NM_001198693,NM_001198693,Mmu.3692,574398,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G,ENSMMUT00000101598.1,,,"Macaca mulatta apolipoprotein B mRNA editing enzyme catalytic subunit 3G (APOBEC3G), mRNA [NM_001198693]",chr10:82988246-82988305,
A_01_P013165,ENSMMUT00000004945.4,XM_028844137,JV639838,Mmu.2962,100430829,RBM6,RNA binding motif protein 6,ENSMMUT00000004945.4,,,RNA binding motif protein 6 [Source:VGNC Symbol;Acc:VGNC:76683] [ENSMMUT00000004945.4],chr2:86346774-86346715,
A_01_P014018,,,,,,,,,,,,chr6:137256738-137256797,
A_01_P014719,XM_015121024,XM_015121024,XM_015121024,,707948,SIAH3,siah E3 ubiquitin protein ligase family member 3,,,,"PREDICTED: Macaca mulatta siah E3 ubiquitin protein ligase family member 3 (SIAH3), mRNA [XM_015121024]",chr17:24651306-24651247,
A_01_P010986,ENSMMUT00000017339.4,XM_015146607,JV653790,Mmu.9998,710724,PIP4K2A,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha,ENSMMUT00000017339.4,,,phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:VGNC Symbol;Acc:VGNC:76003] [ENSMMUT00000017339.4],chr9:22735043-22734984,
A_01_P005358,JV564849,XM_015119358,JV564849,Mmu.12601,,,,,,,TSA: Macaca mulatta Mamu_126323 mRNA sequence. [JV564849],chr16:57200269-57200210,
A_01_P013429,XM_001095121,XM_001095121,XM_001095121,Mmu.23721,700609,PM20D2,peptidase M20 domain containing 2,,,,"PREDICTED: Macaca mulatta peptidase M20 domain containing 2 (PM20D2), mRNA [XM_001095121]",chr4:85016630-85016689,
A_01_P015724,ENSMMUT00000025213.4,XM_028826335,XM_028826335,,710153,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",ENSMMUT00000025213.4,,,"ERCC excision repair 6, chromatin remodeling factor [Source:VGNC Symbol;Acc:VGNC:81396] [ENSMMUT00000025213.4]",chr9:47125567-47125626,
A_01_P013562,JV058518,XM_028839499,JV058518,Mmu.22795,,,,,,,TSA: Macaca mulatta Mamu_409507 mRNA sequence. [JV058518],chr19:63590195-63590253,
A_01_P013622,ENSMMUT00000015811.4,XM_015146761,JV683393,Mmu.19717,696652,KIF5B,kinesin family member 5B,ENSMMUT00000015811.4,,,kinesin family member 5B [Source:VGNC Symbol;Acc:VGNC:74020] [ENSMMUT00000015811.4],chr9:32177576-32177517,
A_01_P010458,ENSMMUT00000029647.4,,JU487328,Mmu.2142,700443,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,ENSMMUT00000029647.4,,,ATPase Na+/K+ transporting subunit beta 1 [Source:VGNC Symbol;Acc:VGNC:70176] [ENSMMUT00000029647.4],chr1:198865110-198865169,
A_01_P008133,NM_001257914,NM_001257914,NM_001257914,Mmu.22235,696633,PREP,prolyl endopeptidase,ENSMMUT00000018924.4,,,"Macaca mulatta prolyl endopeptidase (PREP), mRNA [NM_001257914]",chr4:101283018-101282959,
A_01_P016100,JV686762,XM_015125096,JV686762,Mmu.2445,,,,,,,TSA: Macaca mulatta Mamu_297841 mRNA sequence. [JV686762],chr19:62715573-62715514,
A_01_P018503,NM_001260903,NM_001260903,NM_001260903,Mmu.31957,714587,RASL10A,RAS like family 10 member A,,,,"Macaca mulatta RAS like family 10 member A (RASL10A), mRNA [NM_001260903]",chr10:73139813-73139754,
A_01_P017764,ENSMMUT00000015811.4,XM_015146761,JV506110,Mmu.19717,696652,KIF5B,kinesin family member 5B,ENSMMUT00000015811.4,,,kinesin family member 5B [Source:VGNC Symbol;Acc:VGNC:74020] [ENSMMUT00000015811.4],chr9:32176149-32176090,
A_01_P019051,ENSMMUT00000011952.4,XM_001118082,JV690475,Mmu.27220,,,,ENSMMUT00000011952.4,,,TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185] [ENSMMUT00000011952.4],chr11:4451286-4451345,
A_01_P019599,ENSMMUT00000023695.4,XM_001114331,XM_001114331,,714493,ASB16,ankyrin repeat and SOCS box containing 16,ENSMMUT00000023695.4,,,ankyrin repeat and SOCS box containing 16 [Source:VGNC Symbol;Acc:VGNC:99119] [ENSMMUT00000023695.4],chr16:54269651-54269710,
A_01_P005582,ENSMMUT00000009551.4,XM_015136002,JV072257,Mmu.28968,716472,VWA7,von Willebrand factor A domain containing 7,ENSMMUT00000009551.4,,,von Willebrand factor A domain containing 7 [Source:VGNC Symbol;Acc:VGNC:78941] [ENSMMUT00000009551.4],chr4:31412180-31412042,
A_01_P018452,XM_002799486,,XM_002799486,Mmu.2482,,,,,,,"PREDICTED: Macaca mulatta hypothetical protein LOC100428624 (LOC100428624), mRNA [XM_002799486]",chr14:8925828-8925769,
A_01_P016072,,,,,,,,,,,,chr3:081668067-081668008,
A_01_P007794,ENSMMUT00000106144.1,XM_015146425,JV636865,Mmu.1696,713768,ATP5F1C,ATP synthase F1 subunit gamma,ENSMMUT00000106144.1,,,ATP synthase F1 subunit gamma [Source:VGNC Symbol;Acc:VGNC:100298] [ENSMMUT00000106144.1],chr9:8001144-8001203,
A_01_P019147,JV708903,XR_091822,JV708903,Mmu.20595,,,,,,,TSA: Macaca mulatta Mamu_553295 mRNA sequence. [JV708903],,
A_01_P001326,,,,,,,,,,,,chr12:046700669-046700728,
A_01_P005443,ENSMMUT00000015970.4,XM_001118617,JV503541,Mmu.25804,,,,ENSMMUT00000015970.4,,,TSA: Macaca mulatta Mamu_17270 mRNA sequence. [JV503541],chr18:7356556-7356615,
A_01_P017747,JV529099,XM_028848653,JV529099,Mmu.28893,693620,CXXC4,CXXC finger protein 4,,,,TSA: Macaca mulatta Mamu_131384 mRNA sequence. [JV529099],chr5:97534740-97534681,
A_01_P011785,NM_001266257,NM_001266257,NM_001266257,Mmu.32152,695746,PAX6,paired box 6,ENSMMUT00000105098.1,,,"Macaca mulatta paired box 6 (PAX6), mRNA [NM_001266257]",chr14:40014202-40014261,
A_01_P005971,,,,,,,,,,,,chrX:063252204-063252263,
A_01_P014592,,,,,,,,,,,,chr8:135386398-135386457,
A_01_P000716,ENSMMUT00000065549.2,XM_015118082,JV531081,Mmu.22550,705324,SPTLC1,serine palmitoyltransferase long chain base subunit 1,ENSMMUT00000065549.2,,,serine palmitoyltransferase long chain base subunit 1 [Source:VGNC Symbol;Acc:VGNC:77873] [ENSMMUT00000065549.2],chr15:103843024-103842965,
A_01_P011257,NM_001265772,NM_001265772,NM_001265772,Mmu.3618,574333,CNTN2,contactin 2,ENSMMUT00000075141.2,,,"Macaca mulatta contactin 2 (CNTN2), mRNA [NM_001265772]",chr1:165339930-165339871,
A_01_P013116,ENSMMUT00000082831.1,XM_015130084,JV044239,Mmu.27066,710888,MCM2,minichromosome maintenance complex component 2,ENSMMUT00000082831.1,,,minichromosome maintenance complex component 2 [Source:VGNC Symbol;Acc:VGNC:74680] [ENSMMUT00000082831.1],chr11:87221779-87221720,
A_01_P008166,XM_015118422,XM_015118422,XM_015118422,,699281,ELK4,ETS transcription factor ELK4,,,,"PREDICTED: Macaca mulatta ETS transcription factor ELK4 (ELK4), transcript variant X1, mRNA [XM_015118422]",chr1:164805242-164805301,
A_01_P007163,ENSMMUT00000099701.1,XM_001114412,JV709393,Mmu.20583,716092,ALDH1B1,aldehyde dehydrogenase 1 family member B1,ENSMMUT00000099701.1,,,aldehyde dehydrogenase 1 family member B1 [Source:VGNC Symbol;Acc:VGNC:81354] [ENSMMUT00000099701.1],chr15:39015414-39015355,
A_01_P004650,JV710963,XM_001116431,JV710963,Mmu.25424,719782,FPR1,formyl peptide receptor 1,,,,TSA: Macaca mulatta Mamu_567033 mRNA sequence. [JV710963],chr19:57798371-57798312,
A_01_P003190,JV694454,XM_015112244,JV694454,Mmu.1557,,,,,,,TSA: Macaca mulatta Mamu_324346 mRNA sequence. [JV694454],chr13:43341188-43341127,
A_01_P004195,ENSMMUT00000008332.4,XM_028848999,XM_001097768,Mmu.24348,709256,LOC709256,olfactory receptor 2B11,ENSMMUT00000008332.4,,,olfactory receptor family 2 subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:31249] [ENSMMUT00000008332.4],chr1:209536501-209536560,
A_01_P009687,JV672837,XM_001092028,JV672837,Mmu.24785,,,,,,,TSA: Macaca mulatta Mamu_309490 mRNA sequence. [JV672837],chr1:4307705-4307764,
A_01_P012485,,,,,,,,,,,,chr9:118646669-118646728,
A_01_P018089,ENSMMUT00000020466.4,XM_015140152,JV642817,Mmu.22002,697731,SREK1,splicing regulatory glutamic acid and lysine rich protein 1,ENSMMUT00000020466.4,,,splicing regulatory glutamic acid and lysine rich protein 1 [Source:VGNC Symbol;Acc:VGNC:77944] [ENSMMUT00000020466.4],chr6:64093651-64093710,
A_01_P000402,JU494889,XM_028826722,JU494889,Mmu.36569,,,,,,,TSA: Macaca mulatta Mamu_377904 mRNA sequence. [JU494889],chr9:96537223-96537282,
A_01_P018602,,,,,,,,,,,,chr3:059449284-059449343,
A_01_P017297,,,,,,,,,,,,chr1:134741026-134741085,
A_01_P013091,ENSMMUT00000038735.3,XM_028839107,JV051123,Mmu.25638,714600,ODAD3,outer dynein arm docking complex subunit 3,ENSMMUT00000038735.3,,,outer dynein arm docking complex subunit 3 [Source:VGNC Symbol;Acc:VGNC:70892] [ENSMMUT00000038735.3],chr19:11244186-11244127,
A_01_P010762,ENSMMUT00000060664.2,XM_028850992,JV061768,Mmu.20488,100429961,MYO1E,myosin IE,ENSMMUT00000060664.2,,,myosin IE [Source:VGNC Symbol;Acc:VGNC:75114] [ENSMMUT00000060664.2],chr7:37507064-37507005,
A_01_P012329,NM_001193909,NM_001193909,NM_001193909,Mmu.19170,698567,CBLN4,cerebellin 4 precursor,ENSMMUT00000008399.3,,,"Macaca mulatta cerebellin 4 precursor (CBLN4), mRNA [NM_001193909]",chr10:8543542-8543601,
A_01_P014880,ENSMMUT00000002216.4,XM_015142719,JV049904,Mmu.28007,702404,ARID3B,AT-rich interaction domain 3B,ENSMMUT00000002216.4,,,AT-rich interaction domain 3B [Source:VGNC Symbol;Acc:VGNC:69827] [ENSMMUT00000002216.4],chr7:53395952-53396011,
A_01_P010846,XM_002808301,XM_015126369,XM_002808301,Mmu.23012,698664,ELMO3,engulfment and cell motility 3,,,,"PREDICTED: Macaca mulatta engulfment and cell motility protein 3-like (LOC698664), mRNA [XM_002808301]",chr20:65503655-65503714,
A_01_P007708,ENSMMUT00000002697.4,XM_015119968,XM_015119968,,696704,HSPB7,heat shock protein family B (small) member 7,ENSMMUT00000002697.4,,,heat shock protein family B (small) member 7 [Source:VGNC Symbol;Acc:VGNC:99972] [ENSMMUT00000002697.4],chr1:18819161-18819102,
A_01_P009808,ENSMMUT00000103362.1,XM_015119516,JV063389,Mmu.29264,701974,PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,ENSMMUT00000103362.1,,,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:VGNC Symbol;Acc:VGNC:100035] [ENSMMUT00000103362.1],chr1:166008158-166008217,
A_01_P002303,ENSMMUT00000004464.4,XM_015109764,JV486550,Mmu.27667,695171,ZNF140,zinc finger protein 140,ENSMMUT00000004464.4,,,zinc finger protein 140 [Source:VGNC Symbol;Acc:VGNC:78843] [ENSMMUT00000004464.4],chr11:134376349-134376408,
A_01_P004760,NM_001277936,NM_001277936,NM_001277936,Mmu.31093,717581,G0S2,G0/G1 switch 2,ENSMMUT00000078924.2,,,"Macaca mulatta G0/G1 switch 2 (G0S2), mRNA [NM_001277936]",chr1:160719206-160719147,
A_01_P014705,XM_015122161,XM_015122161,XM_015122161,,100424017,SERPINB8,serpin family B member 8,,,,"PREDICTED: Macaca mulatta serpin family B member 8 (SERPINB8), transcript variant X1, mRNA [XM_015122161]",chr18:57397425-57397484,
A_01_P012720,JV681676,XM_015112578,JV681676,Mmu.22330,,,,,,,TSA: Macaca mulatta Mamu_324139 mRNA sequence. [JV681676],chr13:64669788-64669847,
A_01_P013881,ENSMMUT00000021805.4,XM_015152683,JV531922,Mmu.21803,705262,PWP1,"PWP1 homolog, endonuclein",ENSMMUT00000021805.4,,,"PWP1 homolog, endonuclein [Source:HGNC Symbol;Acc:HGNC:17015] [ENSMMUT00000021805.4]",chr11:108779504-108779563,
A_01_P011377,ENSMMUT00000103817.1,XM_015132961,JU325662,Mmu.20917,716990,PHACTR4,phosphatase and actin regulator 4,ENSMMUT00000103817.1,,,phosphatase and actin regulator 4 [Source:VGNC Symbol;Acc:VGNC:75864] [ENSMMUT00000103817.1],chr1:31206326-31206385,
A_01_P007651,ENSMMUT00000075949.2,XM_028836917,JV534251,Mmu.20947,718666,TEPSIN,TEPSIN adaptor related protein complex 4 accessory protein,ENSMMUT00000075949.2,,,TEPSIN adaptor related protein complex 4 accessory protein [Source:VGNC Symbol;Acc:VGNC:79613] [ENSMMUT00000075949.2],chr16:76683489-76683430,
A_01_P013879,XM_028841239,XM_028841239,XM_028841239,,697524,CES2,carboxylesterase 2,,,,"PREDICTED: Macaca mulatta carboxylesterase 2 (CES2), transcript variant X2, mRNA [XM_028841239]",chr20:65237889-65237948,
A_01_P003137,ENSMMUT00000030189.4,XM_028833480,JU486775,Mmu.23436,,,,ENSMMUT00000030189.4,,,TSA: Macaca mulatta Mamu_368053 mRNA sequence. [JU486775],chr2:177766289-177766348,
A_01_P002086,,,,,,,,,,,,,
A_01_P018344,ENSMMUT00000020066.4,XM_015110820,JV528918,Mmu.10186,106992709,C12H2orf80,chromosome 12 C2orf80 homolog,ENSMMUT00000020066.4,,,chromosome 12 C2orf80 homolog [Source:VGNC Symbol;Acc:VGNC:70459] [ENSMMUT00000020066.4],chr12:72074723-72074664,
A_01_P018770,JU325953,XM_028848470,JU325953,Mmu.28385,696308,PRKG2,protein kinase cGMP-dependent 2,,,,TSA: Macaca mulatta Mamu_505693 mRNA sequence. [JU325953],chr5:48476250-48476309,
A_01_P005432,XM_028831204,XM_028831204,XM_028831204,,711323,GPR55,G protein-coupled receptor 55,,,,"PREDICTED: Macaca mulatta G protein-coupled receptor 55 (GPR55), mRNA [XM_028831204]",chr12:94763674-94763615,
A_01_P017172,NM_001193996,NM_001193996,NM_001193996,Mmu.18943,703649,OR9I1,"olfactory receptor, family 9, subfamily I, member 1",ENSMMUT00000092478.1,,,"Macaca mulatta olfactory receptor, family 9, subfamily I, member 1 (OR9I1), mRNA [NM_001193996]",chr14:15337693-15337752,
A_01_P004785,,,,,,,,,,,,chr16:000013707-000013659,
